,city,date,district,building state,main use,total floor number
15658,新北市,2013-12-06,淡水區,住宅大樓(11層含以上有電梯),住家用,29
10889,新北市,2013-12-08,淡水區,住宅大樓(11層含以上有電梯),住家用,29
8799,新北市,2013-12-10,淡水區,住宅大樓(11層含以上有電梯),住家用,24
8487,新北市,2013-12-12,淡水區,住宅大樓(11層含以上有電梯),住家用,20
10918,新北市,2013-12-14,淡水區,住宅大樓(11層含以上有電梯),住家用,29
10892,新北市,2013-12-17,淡水區,住宅大樓(11層含以上有電梯),住家用,29
12695,新北市,2013-12-17,淡水區,住宅大樓(11層含以上有電梯),住家用,29
7302,新北市,2013-12-18,淡水區,住宅大樓(11層含以上有電梯),住家用,24
13084,新北市,2013-12-18,淡水區,住宅大樓(11層含以上有電梯),住家用,29
12693,新北市,2013-12-19,淡水區,住宅大樓(11層含以上有電梯),住家用,29
10891,新北市,2013-12-19,淡水區,住宅大樓(11層含以上有電梯),住家用,29
7301,新北市,2013-12-22,淡水區,住宅大樓(11層含以上有電梯),住家用,29
14525,新北市,2013-12-23,淡水區,住宅大樓(11層含以上有電梯),住家用,29
24173,桃園市,2013-12-24,龜山區,其他,,0
14524,新北市,2013-12-24,淡水區,住宅大樓(11層含以上有電梯),住家用,29
14523,新北市,2013-12-24,淡水區,住宅大樓(11層含以上有電梯),住家用,29
26418,桃園市,2013-12-25,龜山區,其他,,0
26417,桃園市,2013-12-25,龜山區,其他,,0
26416,桃園市,2013-12-25,龜山區,其他,,0
6454,新北市,2013-12-25,淡水區,住宅大樓(11層含以上有電梯),住家用,29
26605,桃園市,2013-12-25,龜山區,其他,,0
26600,桃園市,2013-12-25,龜山區,其他,,0
11599,新北市,2013-12-26,淡水區,住宅大樓(11層含以上有電梯),住家用,21
7706,新北市,2014-01-01,淡水區,住宅大樓(11層含以上有電梯),住家用,29
16819,新北市,2014-01-01,淡水區,住宅大樓(11層含以上有電梯),住家用,29
48321,高雄市,2014-01-02,鳳山區,住宅大樓(11層含以上有電梯),見其他登記事項,14
12222,新北市,2014-01-02,淡水區,住宅大樓(11層含以上有電梯),住家用,29
22494,桃園市,2014-01-10,中壢區,住宅大樓(11層含以上有電梯),見其他登記事項,22
8481,新北市,2014-01-10,淡水區,住宅大樓(11層含以上有電梯),住家用,29
27039,桃園市,2014-01-10,中壢區,住宅大樓(11層含以上有電梯),見其他登記事項,22
